Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,Time,,,
Motifs,4,20,10,0,2,False,1,True,20,0.81,23.38,,,
Motifs,4,20,10,0,2,False,1,True,20,0.81,23.2,,,
Discords,4,20,10,0,2,False,1,True,20,0.78,19.22,,,
Discords,4,20,10,0,2,False,1,True,20,0.78,19.37,,,
Discords,4,20,10,0,2,False,1,True,20,0.78,18.79,,,
Discords,4,20,10,0,2,False,1,True,20,0.78,19.38,,,
Both,4,20,10,0,2,False,1,True,20,0.81,24.94,,,
Both,4,20,10,0,2,False,1,True,20,0.81,141.03,,,
Both,4,20,10,0,2,False,1,True,20,0.81,78.84,,,
Both,4,20,10,0,2,False,1,True,20,0.81,47.13,,,
Both,4,20,10,0,2,False,1,True,20,0.81,57.29,,,
Both,4,20,10,0,2,False,1,True,20,0.81,103.68,,,
Both,4,20,10,0,2,False,1,True,20,0.81,38.4,,,
Motifs,4,20,10,0,2,False,1,True,20,0.81,294.25,,,
Motifs,2,10,5,0,1,False,1,True,10,0.74,7.87,,,
Motifs,2,10,5,0,1,False,1,True,10,0.74,7.92,,,
Motifs,3,10,5,0,1,False,1,True,10,0.74,10.05,,,
Motifs,4,10,5,0,1,False,1,True,10,0.75,11.98,,,
Motifs,5,10,5,0,1,False,1,True,10,0.75,11.59,,,
Motifs,5,10,10,0,1,False,1,True,10,0.81,11.48,,,
Motifs,5,20,10,0,1,False,1,True,10,0.81,11.68,,,
Motifs,4,10,10,0,1,False,1,True,10,0.81,11.37,,,
Motifs,4,20,10,0,1,False,1,True,10,0.81,11.9,,,
Motifs,3,20,10,0,1,False,1,True,10,0.81,11.72,,,
Motifs,2,20,10,0,1,False,1,True,10,0.81,7.72,,,
Motifs,2,10,10,0,1,False,1,True,10,0.81,7.71,,,
Motifs,3,20,15,0,1,False,1,True,10,0.93,9.11,,,
Motifs,2,20,15,0,1,False,1,True,10,0.93,7.36,,,
Motifs,4,20,15,0,1,False,1,True,10,0.9,10.79,,,
Motifs,5,20,15,0,1,False,1,True,10,0.9,11.14,,,
Motifs,4,20,20,0,1,False,1,True,10,0.89,5.52,,,
Motifs,3,20,20,0,1,False,1,True,10,0.89,5.53,,,
Motifs,2,20,20,0,1,False,1,True,10,0.89,5.54,,,
Motifs,4,20,20,0,1,False,1,True,10,0.89,5.79,,,
Motifs,4,20,20,0,1,False,1,True,5,0.92,6.01,,,
Motifs,4,20,20,1,1,False,1,True,5,0.92,6.16,,,
Discords,2,10,5,0,1,False,1,True,5,0.62,4.96,,,
Discords,3,10,5,0,1,False,1,True,5,0.71,8.45,,,
Discords,4,10,5,0,1,False,1,True,5,0.71,11.63,,,
Discords,4,10,5,0,1,False,1,True,5,0.71,11.83,,,
Discords,5,10,5,0,1,False,1,True,5,0.71,11.94,,,
Discords,5,10,10,0,1,False,1,True,5,0.79,14.2,,,
Discords,4,10,10,0,1,False,1,True,5,0.75,10.63,,,
Discords,3,10,10,0,1,False,1,True,5,0.74,7.13,,,
Discords,2,10,10,0,1,False,1,True,5,0.61,5.29,,,
Discords,2,10,15,0,1,False,1,True,5,0.93,5.15,,,
Discords,3,10,15,0,1,False,1,True,5,0.87,8.02,,,
Discords,2,10,15,0,1,False,1,True,10,0.93,5.82,,,
Discords,2,10,15,0,2,False,1,True,10,0.93,5.96,,,
Discords,2,10,15,1,2,False,1,True,10,0.93,5.97,,,
Discords,4,10,15,1,2,False,1,True,10,0.87,9.48,,,
Discords,5,10,15,1,2,False,1,True,10,0.87,9.49,,,
Both,2,10,15,1,2,False,1,True,10,0.93,6.18,,,
Discords,3,20,20,1,2,False,1,True,20,0.92,7.61,,,
Discords,3,20,20,1,2,False,1,True,20,0.92,10.23,,,
Both,3,20,5,1,1,False,1,True,20,0.71,30.74,,,
Discords,2,20,20,1,2,False,1,True,20,0.92,15.93,,,
Discords,1,20,20,1,2,False,1,True,20,0.9,16.23,,,
Discords,4,20,20,1,2,False,1,True,20,0.92,12.74,,,
Discords,5,20,20,1,2,False,1,True,20,0.92,12.05,,,
Discords,3,20,20,1,2,False,1,True,20,0.92,6.92,,,
Discords,3,20,20,1,2,False,1,True,20,0.92,2.17,4.64,2.58,0.11
Motifs,3,20,20,1,2,False,1,True,20,0.92,1.97,4.22,2.56,0.11
Both,3,20,20,1,2,False,1,True,20,0.91,2.4,6.47,3.74,0.11
Discords,1,20,20,1,2,False,1,True,20,0.9,2.17,3.24,1.39,0.1
Discords,3,20,20,1,2,False,1,True,20,0.92,2.15,4.58,3.08,0.1
Discords,4,20,20,1,2,False,1,True,20,0.92,2.16,4.63,2.57,0.1
Discords,5,20,20,1,2,False,1,True,20,0.92,2.15,4.88,2.54,0.11
Discords,3,5,20,1,2,False,1,True,20,0.9,2.17,4.72,3.73,0.11
Discords,3,10,20,1,2,False,1,True,20,0.92,2.16,4.62,2.57,0.11
Discords,3,20,20,1,2,False,1,True,20,0.92,2.44,4.59,2.54,0.11
Discords,3,40,20,1,2,False,1,True,20,0.9,2.16,3.21,1.38,0.1
Discords,3,80,20,1,2,False,1,True,20,0.9,2.67,3.55,1.39,0.1
Discords,3,100,20,1,2,False,1,True,20,0.9,2.17,3.23,1.39,0.1
Discords,3,100,20,1,2,False,1,True,20,0.9,2.19,3.21,1.39,0.1
Discords,3,160,20,1,2,False,1,True,20,0.9,2.16,3.22,1.38,0.1
Discords,3,20,20,0,2,False,1,True,20,0.92,2.16,4.6,2.57,0.11
Discords,3,20,5,1,2,False,1,True,20,0.69,2.45,7.0,4.38,0.12
Discords,3,20,20,1,2,False,1,True,5,0.9,1.02,2.26,3.72,0.11
Discords,3,20,20,1,2,False,1,True,10,0.91,1.4,3.6,3.75,0.11
Discords,3,20,20,1,2,False,1,True,80,0.94,6.73,11.88,2.83,0.12
Discords,3,20,20,1,2,False,1,True,160,0.94,10.42,15.16,2.68,0.11
Discords,3,20,20,1,2,False,0.1,True,20,0.5,0.11,0.1,1.4,0.1
Discords,3,20,20,1,2,False,0.2,True,20,0.74,0.5,0.41,1.39,0.1
Discords,3,20,20,1,2,False,0.3,True,20,0.85,0.71,0.91,1.44,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.9,0.89,1.06,1.4,0.1
Discords,3,20,20,1,2,False,0.5,True,20,0.84,1.11,1.65,1.39,0.1
Discords,3,20,20,1,2,False,0.6,True,20,0.9,1.31,2.82,2.57,0.11
Discords,3,20,20,1,2,False,0.7,True,20,0.92,1.49,2.85,2.56,0.11
Discords,3,20,20,1,2,False,0.8,True,20,0.88,1.71,3.83,2.56,0.11
Discords,3,20,20,1,2,False,0.9,True,20,0.9,1.92,4.76,3.74,0.11
Discords,3,20,20,1,2,False,1,True,20,0.94,2.11,4.36,2.59,0.11
Discords,3,20,20,1,2,False,0.1,True,20,0.77,0.11,0.1,1.43,0.1
Discords,3,20,20,1,2,False,0.2,True,20,0.9,0.55,0.48,1.44,0.1
Discords,3,20,20,1,2,False,0.3,True,20,0.93,0.72,0.74,1.44,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.86,0.88,1.29,1.37,0.1
Discords,3,20,20,1,2,False,0.5,True,20,0.82,1.15,2.46,2.53,0.11
Discords,3,20,20,1,2,False,0.6,True,20,0.9,1.31,2.61,2.56,0.11
Discords,3,20,20,1,2,False,0.7,True,20,0.94,1.49,3.79,3.7,0.11
Discords,3,20,20,1,2,False,0.8,True,20,0.93,1.69,4.34,3.7,0.11
Discords,3,20,20,1,2,False,0.9,True,20,0.93,1.91,4.04,2.53,0.1
Discords,3,20,20,1,2,False,1,True,20,0.87,2.09,5.36,3.7,0.11
Discords,3,20,20,1,2,False,0.1,True,20,0.86,0.12,0.12,1.48,0.1
Discords,3,20,20,1,2,False,0.1,True,20,0.84,0.11,0.13,1.42,0.1
Discords,3,20,20,1,2,False,0.1,True,20,0.3,0.1,0.13,1.38,0.1
Discords,3,20,20,1,2,False,0.1,True,20,0.74,0.1,0.13,1.39,0.1
Discords,3,20,20,1,2,False,0.1,True,20,0.79,0.11,0.13,1.38,0.1
Discords,3,20,20,1,2,False,0.1,True,20,0.71,0.1,0.11,1.39,0.1
Discords,3,20,20,1,2,False,0.1,True,20,0.5,0.1,0.1,1.38,0.1
Discords,3,20,20,1,2,False,0.1,True,20,0.52,0.1,0.1,1.39,0.1
Discords,3,20,20,1,2,False,0.1,True,20,0.62,0.11,0.09,1.4,0.1
Discords,3,20,20,1,2,False,0.1,True,20,0.84,0.11,0.12,1.39,0.1
Discords,3,20,20,1,2,False,0.2,True,20,0.76,0.53,0.32,1.43,0.1
Discords,3,20,20,1,2,False,0.2,True,20,0.95,0.5,0.44,1.47,0.1
Discords,3,20,20,1,2,False,0.2,True,20,0.94,0.51,0.43,1.42,0.11
Discords,3,20,20,1,2,False,0.2,True,20,0.85,0.92,0.33,1.46,0.1
Discords,3,20,20,1,2,False,0.2,True,20,0.92,0.51,0.42,1.38,0.1
Discords,3,20,20,1,2,False,0.2,True,20,0.87,0.49,0.44,1.4,0.1
Discords,3,20,20,1,2,False,0.2,True,20,0.74,0.55,0.42,1.41,0.1
Discords,3,20,20,1,2,False,0.2,True,20,0.94,0.5,0.32,1.41,0.1
Discords,3,20,20,1,2,False,0.3,True,20,0.77,0.73,0.9,1.4,0.1
Discords,3,20,20,1,2,False,0.3,True,20,0.92,0.71,0.76,1.39,0.1
Discords,3,20,20,1,2,False,0.3,True,20,0.82,0.71,0.89,1.39,0.1
