Dataset,Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,PreProcessingTrain Time,Train Time,PreProcessingTest Time,Prediction Time
GunPoint,Discords,3,20,20,1,2,False,0.6,True,20,0.79,1.88,1.74,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.6,True,20,0.79,1.73,1.63,0.25,0.02
GunPoint,Discords,3,20,20,1,2,False,0.6,True,20,0.91,1.78,1.64,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.7,True,20,0.77,2.06,2.01,0.26,0.02
GunPoint,Discords,3,20,20,1,2,False,0.7,True,20,0.9,2.1,1.99,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.7,True,20,0.75,2.26,1.95,0.24,0.02
GunPoint,Discords,3,20,20,1,2,False,0.8,True,20,0.73,2.34,3.78,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,0.8,True,20,0.83,2.29,3.43,0.45,0.02
GunPoint,Discords,3,20,20,1,2,False,0.9,True,20,0.91,2.57,3.48,0.45,0.02
GunPoint,Discords,3,20,20,1,2,False,0.9,True,20,0.86,2.56,3.69,0.45,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,20,0.91,2.85,4.65,0.66,0.02
GunPoint,Discords,3,20,20,1,2,False,1,True,20,0.91,2.83,4.68,0.66,0.02
ECG200,Motifs,3,20,20,1,2,False,1,True,20,0.69,4.64,11.37,0.56,0.02
ECG200,Motifs,3,20,20,1,2,False,1,True,20,0.69,4.66,11.49,0.62,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,20,0.78,5.23,11.69,0.57,0.02
ECG200,Both,3,20,20,1,2,False,1,True,20,0.72,5.31,13.62,0.57,0.02
ECG200,Discords,1,20,20,1,2,False,1,True,20,0.66,4.77,4.89,0.16,0.01
ECG200,Discords,2,20,20,1,2,False,1,True,20,0.77,4.73,9.46,0.43,0.02
ECG200,Discords,4,20,20,1,2,False,1,True,20,0.78,4.75,13.4,0.71,0.02
ECG200,Discords,5,20,20,1,2,False,1,True,20,0.75,4.77,14.6,0.84,0.02
ECG200,Discords,3,5,20,1,2,False,1,True,20,0.78,4.74,12.08,0.71,0.01
ECG200,Discords,3,10,20,1,2,False,1,True,20,0.78,4.75,12.01,0.71,0.02
ECG200,Discords,3,15,20,1,2,False,1,True,20,0.78,4.72,12.07,0.76,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,20,0.78,4.74,11.35,0.57,0.01
ECG200,Discords,3,40,20,1,2,False,1,True,20,0.78,4.75,11.48,0.58,0.01
ECG200,Discords,3,80,20,1,2,False,1,True,20,0.66,4.77,4.85,0.16,0.01
ECG200,Discords,3,100,20,1,2,False,1,True,20,0.66,4.76,4.88,0.16,0.01
ECG200,Discords,3,160,20,1,2,False,1,True,20,0.66,4.74,4.88,0.16,0.01
ECG200,Discords,3,20,20,0,2,False,1,True,20,0.78,4.73,11.44,0.57,0.01
ECG200,Discords,3,20,5,1,2,False,1,True,20,0.67,4.74,12.94,0.71,0.01
ECG200,Discords,3,20,10,1,2,False,1,True,20,0.77,4.72,12.53,0.57,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,20,0.78,4.76,11.49,0.58,0.01
ECG200,Discords,3,20,40,1,2,False,1,True,20,0.76,4.8,13.87,0.74,0.02
ECG200,Discords,3,20,80,1,2,False,1,True,20,0.79,5.25,12.0,0.44,0.02
ECG200,Discords,3,20,20,1,1,False,1,True,20,0.74,4.37,12.02,0.7,0.02
ECG200,Discords,3,20,20,1,3,False,1,True,20,0.75,5.11,13.24,0.7,0.02
ECG200,Discords,3,20,20,1,4,False,1,True,20,0.8,5.55,15.34,0.72,0.02
ECG200,Discords,3,20,20,1,5,False,1,True,20,0.79,6.03,17.38,0.73,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,5,0.74,2.76,4.6,0.43,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,10,0.72,3.36,6.34,0.57,0.01
ECG200,Discords,3,20,20,1,2,False,1,True,20,0.78,4.77,11.79,0.58,0.01
ECG200,Discords,3,20,20,1,2,False,1,True,40,0.71,7.47,23.56,0.87,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,80,0.7,12.92,39.56,0.71,0.02
ECG200,Discords,3,20,20,1,2,False,1,True,160,0.7,23.77,48.07,0.75,0.02
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.49,0.42,0.33,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.7,0.42,0.29,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.64,0.41,0.23,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.49,0.41,0.28,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.61,0.41,0.25,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.65,0.42,0.23,0.16,0.01
