Algorithm,DatasetName,Accuracy,Time,,,
LearningShapelets,ECG5000,0.91,114.47,,,
TSCMP,GunPoint,0.84,8.72,,,
ShapeletTransformation,GunPoint,0.8,15.18,,,
Decision Tree with Shapelet,GunPoint,0.75,2.98,,,
KNN,GunPoint,0.85,0.0,,,
Decision tree classifier,GunPoint,0.63,0.0,,,
LearningShapelets,GunPoint,0.66,34.71,,,
TSCMP,PhalangesOutlinesCorrect,0.65,483.52,,,
ShapeletTransformation,PhalangesOutlinesCorrect,0.71,406.55,,,
Decision Tree with Shapelet,PhalangesOutlinesCorrect,0.65,96.77,,,
KNN,PhalangesOutlinesCorrect,0.66,0.02,,,
Decision tree classifier,PhalangesOutlinesCorrect,0.69,0.08,,,
LearningShapelets,PhalangesOutlinesCorrect,0.67,204.15,,,
TSCMP,ElectricDevices,0.26,3767.9,,,
Decision Tree with Shapelet,ElectricDevices,0.1,1023.34,,,
KNN,ElectricDevices,0.53,0.21,,,
Decision tree classifier,ElectricDevices,0.47,0.84,,,
LearningShapelets,ElectricDevices,0.55,904.26,,,
,,,,,,
,,,,,,
Parametri utilizzati,,,,,,
Candidates,Max depth,Min samples,Window size,Remove candi,k,NumCluster(Medoids)
Discords,3,18,70,1,2,20
